X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,Class Label
255,244.19,136.91,0,20.17855049,38.67792523,0,-2.297236432,0.38791969,0,8.809130631,2.502085581,0,1.937768337,3.312003305,0,108,167,55110.58,990233.7096,-0.055482924,0.003078359,-204.8317647,55090.89,989879.917,-0.055482924,0.003078359,-204.8331337,55097.32,989995.4519,-0.055482924,0.003078359,-204.8061136,0
223.41,196.62,113.18,59.1342701,77.93507298,66.62452702,-1.561874476,-0.907943467,-0.194188559,3.730971534,2.079073768,1.832931295,1.965284262,3.195134314,3.992918372,183,204,226,55110.1,990225.0844,-0.055482924,0.003078359,-204.8892443,55079.49,989675.081,-0.055482924,0.003078359,-204.7611353,55094.27,989940.6493,-0.055482924,0.003078359,-204.7593305,0
203.83,126.72,44.22,58.47427725,61.37036418,28.16223713,-0.611863503,0.342864459,0.207566164,1.798387881,1.739446902,2.245686694,3.445273315,4.577851691,3.229430486,173,200,118,55068.16,989471.5047,-0.055482925,0.003078359,-204.1262122,55097.07,989990.9597,-0.055482924,0.003078359,-204.952571,55093.71,989930.5875,-0.055482924,0.003078359,-204.6910704,0
213.03,163.22,59.71,68.67713666,80.28008221,31.0963969,-1.303111599,-0.641653327,-0.652460697,3.072977698,1.912771746,2.554627357,2.439458321,4.603752596,3.215354935,206,252,118,55078.54,989658.0122,-0.055482924,0.003078359,-204.4116054,55086.31,989797.6231,-0.055482924,0.003078359,-204.8476939,55107.96,990186.6322,-0.055482924,0.003078359,-204.9053188,0
124.41,87.65,24.96,94.490962,85.50489752,32.2703951,0.479944703,0.805404195,0.775895498,1.425080913,1.972136649,1.830801577,3.800510559,4.215289464,2.466013704,229,248,87,55098.79,990021.8661,-0.055482924,0.003078359,-204.6036212,55075.23,989598.5369,-0.055482924,0.003078359,-204.7512976,55085.95,989791.1547,-0.055482924,0.003078359,-204.7130994,0
255,244.56,111.2,0,13.91065778,30.941881,0,-1.171128918,0.898596086,0,3.198169407,4.329315654,0,2.375417557,3.028775594,0,52,167,55087.12,989812.1789,-0.055482924,0.003078359,-204.4581441,55105.07,990134.7044,-0.055482924,0.003078359,-204.9951113,55104.21,990119.2522,-0.055482924,0.003078359,-204.8359807,0
255,251.01,134.07,0,10.26888017,35.27527604,0,-3.768744021,0.372987358,0,19.91120951,2.501102554,0,1.428855208,3.190676393,0,69,144,55119.34,990391.1103,-0.055482924,0.003078359,-204.8844978,55092.77,989913.6971,-0.055482924,0.003078359,-204.8748024,55086.54,989801.7559,-0.055482924,0.003078359,-204.6946816,0
240.74,194.71,79.26,28.86091475,63.97769846,27.68126442,-2.241023252,-0.591852509,0.089430026,7.55819865,1.73998054,1.97656502,1.966412439,3.946293976,3.199533886,128,188,104,55114.69,990307.5585,-0.055482924,0.003078359,-204.8580397,55079.07,989667.5343,-0.055482924,0.003078359,-204.7988546,55073.15,989561.1637,-0.055482924,0.003078359,-204.5224807,0
225.36,182.35,76.12,50.3365712,70.29969772,29.62103307,-1.322645606,-0.685696605,-0.140110633,3.064371728,1.818637153,2.528818161,2.042163923,4.209114946,3.168001123,156,199,135,55098.1,990009.4683,-0.055482924,0.003078359,-204.6527274,55096.57,989981.9756,-0.055482924,0.003078359,-204.9184134,55077.69,989642.7388,-0.055482924,0.003078359,-204.5538896,0
180.11,145.69,58.77,95.18139472,103.4252092,47.18259319,-0.648915727,-0.30066281,-0.066574557,1.560953938,1.332288756,1.420349613,2.984604344,4.321461755,3.14914904,239,254,133,55107.97,990186.8122,-0.055482924,0.003078359,-204.8863149,55067.81,989465.2138,-0.055482924,0.003078359,-204.7550292,55079.51,989675.4407,-0.055482924,0.003078359,-204.6127109,0
254.47,248.04,133.44,4.050814733,19.76558625,30.89314487,-8.368116377,-5.120293298,0.39887959,74.83760313,32.29622373,2.709800251,0.161440543,1.73287791,2.877702159,38,143,151,55107.16,990172.2586,-0.055482924,0.003078359,-204.8310636,55101.65,990073.2536,-0.055482924,0.003078359,-204.9728034,55082.53,989729.7045,-0.055482924,0.003078359,-204.5719407,0
246.56,229.82,129.98,25.97819085,49.40007692,39.1494521,-3.184373836,-1.994112874,-0.635302889,11.92913304,5.653726413,2.703442247,1.002170751,2.412662035,3.344454665,123,184,165,55120.81,990417.5234,-0.055482924,0.003078359,-204.921247,55087.97,989827.4503,-0.055482924,0.003078359,-204.8625823,55077.04,989631.0597,-0.055482924,0.003078359,-204.5412217,0
248.47,221.53,101.92,19.39456367,54.57736802,32.85473482,-3.155238186,-1.452357573,-0.239987432,12.52112356,3.637770375,2.091136706,0.978495348,2.675033058,3.227101834,106,184,134,55098.85,990022.9445,-0.055482924,0.003078359,-204.5694433,55106.03,990151.9538,-0.055482924,0.003078359,-204.9807229,55099.82,990040.3716,-0.055482924,0.003078359,-204.8750781,0
214.17,172.9,76.77,54.29807639,80.06266296,42.05136264,-0.801351051,-0.259594453,0.081170109,1.947285193,1.293450261,1.738484106,2.657999041,3.666218824,3.499933398,156,199,145,55083.61,989749.1105,-0.055482924,0.003078359,-204.4631458,55093.83,989932.7432,-0.055482924,0.003078359,-204.8977758,55101.12,990063.7308,-0.055482924,0.003078359,-204.8009145,0
154.22,112.91,40.65,85.98378684,86.81682959,38.47918268,0.0719707,0.539588317,0.554918632,1.333059239,1.635321346,2.013009683,4.058646909,4.638242691,3.365565157,222,252,133,55141.51,990789.4618,-0.055482924,0.003078358,-205.245304,55053.63,989210.4265,-0.055482924,0.003078359,-204.7427832,55061.8,989357.2262,-0.055482924,0.003078359,-204.4558953,0
138.12,113.68,57.9,95.16189153,98.75149417,71.37639666,0.20617757,0.512237397,0.939437483,1.211610017,1.522599465,2.438468363,3.775769837,3.946513079,3.284498452,222,252,227,55113.55,990287.0747,-0.055482924,0.003078359,-204.889872,55084.61,989767.0775,-0.055482924,0.003078359,-204.8400498,55068.05,989469.5268,-0.055482924,0.003078359,-204.4255001,0
